post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2681682781912328	2019-11-30T11:12:45+0000	"coluna da semana sobre dolar, contas externas e rumos da economia."	830	13	79
904277726319518_2671431079604165	2019-11-25T23:00:07+0000	"fernando haddad entrevista o senador humberto costa (pt-pe)."	2006	12	294
904277726319518_2670632116350728	2019-11-25T15:18:11+0000	"parabens companheira gleisi pela disposicao em liderar o pt por mais um mandato. coragem e o que nao te falta. grande abraco!!  foto: ricardo stuckert"	8096	16	327
904277726319518_2665632440184029	2019-11-23T14:25:44+0000	"com o presidente lula na abertura do 7o congresso do pt.   foto: ricardo stuckert"	7433	12	417
904277726319518_2665370230210250	2019-11-23T12:13:03+0000	"o proximo painel haddad e com meu querido amigo humberto costa, lider do pt no senado. acompanhe nas nossas redes, na proxima segunda-feira, as 20h."	5119	11	181
904277726319518_2665184326895507	2019-11-23T10:22:50+0000	"minha coluna da semana sobre o recrudescimento do racismo, sob bolsonaro."	1143	4	108
904277726319518_2658779977535942	2019-11-20T14:52:33+0000	"africa nas escolas no mec, traduzimos os oito volumes da obra \"historia geral da africa\" da unesco para o portugues. e depois sintetizamos em dois livros. como prefeito de sp, transformamos aquele material em livro didatico, para fazer parte da formacao basica dos estudantes da rede municipal."	9381	9	2365
904277726319518_2656883197725620	2019-11-19T17:12:46+0000	"moro sempre foi agente politico. entrevista que dei ao fabio pannunzio."	3264	12	545
904277726319518_467618857207259	2019-11-18T23:00:31+0000	"fernando haddad entrevista o economista eduardo moreira."	5234	16	2091
904277726319518_2654140924666514	2019-11-18T10:55:30+0000	"tem alguma saida para esse modelo liberal ortodoxo do ministro paulo guedes? como o sistema financeiro se alimenta da pobreza da maioria da populacao? esses e outros temas vou debater com o economista eduardo moreira, hoje no painel haddad, as 20h."	10074	10	649
904277726319518_2653317308082209	2019-11-18T01:17:16+0000	"valeu, recife! no festival lula livre.   foto: ricardo stuckert"	17202	24	996
904277726319518_2149882978649266	2019-11-18T00:13:29+0000	"ao vivo - festival lula livre em recife. #festivalcomlulalivre"	3266	71	305
904277726319518_556456315181560	2019-11-17T15:58:35+0000	"ao vivo: festival lula livre - direto de recife"	5257	89	948
904277726319518_2649510065129600	2019-11-16T11:17:16+0000	"a coluna desta semana e sobre \"golpes\" na america latina: os aparentemente inofensivos, os hibridos ou soft e os hard."	1523	9	257
904277726319518_2639518476128759	2019-11-11T23:00:45+0000	"fernando haddad entrevista fernando meirelles - parte 2."	2150	10	265
904277726319518_2638532779560662	2019-11-11T13:13:05+0000	"hoje, as 22h30, vai ao ar a entrevista que dei para o querido gilberto gil no canal brasil.   foto: ricardo stuckert"	3491	4	178
